tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24021753002,1913,117,30,130,881
24021765100,2368,303,214,234,10
24021766800,2315,72,51,745,272
24021767500,221,0,4,0,120
24021767600,786,105,45,91,95
24021770700,454,23,58,1,54
24021772200,3909,513,335,264,581
24021773500,294,93,30,29,24
24021775302,556,117,56,73,15
24021775400,554,89,16,117,48
24021775600,741,454,109,0,40
24023000100,1106,135,27,225,95
24023000200,1766,132,35,39,382
24023000300,322,37,4,13,52
24023000400,125,7,0,0,27
24023000501,76,7,5,0,21
24023000502,2215,242,55,245,183
24023000601,3402,521,134,117,107
24023000602,154,3,4,22,42
24023000700,2077,331,149,371,87
24025301102,216,48,42,57,19
24025301105,407,34,8,84,13
24025301106,1569,25,65,109,68
24025301107,2208,707,638,133,7
24025301108,78,3,19,2,7
24025301201,209,26,0,0,30
24025301202,1795,598,186,100,25
24025301204,763,635,28,0,13
24025301205,417,114,48,90,18
24025301301,3422,358,190,5,449
24025301302,880,133,29,0,60
24025301401,612,184,17,149,45
24025301402,235,19,3,171,10
24025301601,1651,51,62,55,58
24025301602,739,112,54,330,26
24025301703,1035,72,61,6,310
24025301704,834,173,0,60,2
24025301705,3664,9,42,3,179
24025301706,43,9,1,0,7
24025301707,2097,156,1434,0,42
24025302100,270,15,3,0,77
24025302200,1020,16,133,84,408
24025302400,3598,80,153,0,177
24025302801,1041,348,34,0,22
24025302802,1523,211,19,349,58
24025302901,1503,101,486,68,1
24025302902,2629,518,45,57,239
24025303101,1362,53,79,649,164
24025303102,1627,99,56,943,17
24025303201,3035,116,384,221,668
24025303203,1601,382,69,15,116
24025303204,817,165,21,102,24
24025303205,86,0,18,0,34
24025303206,290,4,7,60,5
24025303300,1492,571,34,246,122
24025303400,2949,918,103,67,801
24025303501,3877,1361,162,447,38
24025303502,423,34,65,10,37
24025303602,146,7,16,6,34
24025303603,1182,263,75,0,113
24025303605,587,232,45,1,10
24025303606,229,6,51,0,0
24025303700,569,150,24,107,85
24025303801,5084,665,300,47,130
24025303802,276,0,71,0,11
24025303803,3484,211,222,2049,86
24025303900,1532,37,137,149,21
24025304101,576,83,45,42,176
24025304102,328,16,30,12,156
24025304201,854,67,55,12,105
24025304202,1048,234,36,44,326
24025305100,1178,291,45,183,222
24025305200,507,124,17,38,70
24025305300,357,43,0,16,107
24025306100,1938,329,83,121,108
24025306200,677,9,13,26,10
24025306300,2073,24,241,94,55
24025306400,344,13,47,45,25
24025306500,3675,4,2604,0,290
24027601103,1979,201,304,63,38
24027601104,755,21,159,351,26
24027601105,1354,30,476,14,21
24027601107,290,84,2,119,77
24027601108,975,2,450,370,9
24027601203,8577,286,356,164,925
24027601204,6196,354,835,94,607
24027601205,680,157,75,154,67
24027601206,1638,20,38,49,535
24027602100,715,0,185,265,36
24027602201,942,50,157,78,63
24027602202,1806,935,65,142,3
24027602302,8458,1070,1647,318,543
24027602303,1352,106,77,691,44
24027602304,549,103,44,57,22
24027602305,121,2,31,24,8
24027602306,2753,331,453,185,92
24027602600,2331,785,179,22,47
24027602700,648,0,153,75,37
24027602800,5960,218,337,252,42
24027602900,751,97,113,65,22
24027603001,1243,143,289,51,51
24027603003,1268,37,225,192,169
24027603004,2173,167,154,1072,26
24027604001,1376,170,291,57,200
24027604003,730,37,70,127,125
24027604004,778,0,182,95,77
24027605103,914,64,108,160,85
24027605104,2188,706,267,333,137
24027605105,15277,524,10492,621,227
24027605106,599,4,232,6,196
24027605401,257,31,3,133,24
24027605403,1550,71,240,343,19
24027605404,9988,1643,2332,31,402
24027605502,321,5,34,87,28
24027605503,897,143,33,301,46
24027605504,395,10,55,158,4
24027605505,1650,166,114,176,8
24027605601,725,9,63,0,36
24027605602,6185,257,126,2136,29
24027606601,547,0,32,69,56
24027606603,1285,88,248,382,11
24027606604,464,25,88,68,3
24027606606,1279,25,162,322,14
24027606607,169,0,4,101,1
24027606701,1673,38,432,81,45
24027606704,1079,155,312,100,34
24027606706,4312,1944,351,10,203
24027606708,32811,2971,9897,821,1308
24027606803,3696,221,1024,213,514
24027606804,1548,3,274,0,236
24027606805,341,64,83,0,62
24027606807,46,2,27,0,3
24027606808,871,2,166,282,92
24027606901,14968,812,885,6,2046
24027606904,1790,44,69,99,494
24027606905,6961,874,708,252,411
24027606906,344,8,25,86,19
24027606907,2668,416,45,26,218
24029950100,691,111,20,45,68
24029950200,934,74,34,98,68
24029950300,4682,564,142,631,174
24029950400,235,0,7,35,14
24029950500,519,82,14,121,17
24031700101,1375,7,106,98,200
24031700103,1880,107,169,103,467
24031700104,508,134,51,58,20
24031700105,7440,389,324,189,2940
24031700204,307,14,22,0,73
24031700206,365,11,70,63,62
24031700207,1199,285,60,320,124
24031700208,721,94,63,57,69
24031700209,491,71,28,138,102
24031700210,479,154,88,56,5
24031700306,923,0,160,226,16
24031700308,160,5,24,3,14
24031700309,6595,552,1954,143,34
24031700310,572,45,13,184,32
24031700313,5223,1964,1379,407,32
24031700314,332,4,62,49,29
24031700315,392,28,116,53,12
24031700316,1475,319,84,318,28
24031700317,1889,309,64,112,657
24031700318,184,31,24,84,9
24031700400,357,29,15,56,38
24031700500,1353,51,182,185,141
24031700604,1107,289,106,273,84
24031700606,184,3,49,78,16
24031700608,1024,19,400,4,62
24031700610,266,19,30,128,12
24031700611,305,15,105,13,25
24031700613,858,135,98,363,36
24031700614,424,95,11,102,9
24031700615,68,2,15,0,20
24031700616,713,8,93,210,13
24031700617,120,7,61,2,0
24031700618,470,13,66,111,10
24031700706,3405,390,916,0,572
24031700710,631,31,53,86,61
24031700711,647,106,10,99,18
24031700713,1831,656,289,134,58
24031700715,275,13,9,91,26
24031700718,8743,912,1407,138,382
24031700720,196,0,7,121,8
24031700721,371,11,139,0,36
24031700723,4166,666,579,8,125
24031700724,431,8,12,25,91
24031700725,961,45,39,339,213
24031700726,474,102,6,27,52
24031700727,3982,40,63,0,164
24031700728,1721,317,92,97,392
24031700729,376,126,15,0,7
24031700730,210,4,58,77,17
24031700731,707,77,142,286,68
24031700732,648,0,2,223,21
24031700733,6695,1547,2331,17,106
24031700810,360,5,21,227,12
24031700811,580,130,106,0,22
24031700812,392,2,8,140,3
24031700813,1116,109,52,385,18
24031700815,444,40,56,80,154
24031700818,1785,331,194,421,29
24031700819,256,2,14,133,10
24031700820,1408,0,1032,0,5
24031700822,2363,180,1105,117,99
24031700823,286,5,25,110,1
24031700824,420,59,55,100,0
24031700826,2736,724,364,275,77
24031700828,58,2,15,0,1
24031700829,6163,125,872,3,60
24031700830,2311,16,381,0,16
24031700832,367,61,2,91,9
24031700833,429,99,151,3,18
24031700834,404,28,62,103,26
