tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24025303400,24025,4648,1878,0.9960903562119896
24025303501,24025,7614,3299,0.992078162133615
24025303502,24025,3389,1465,1.0
24025303602,24025,3317,1385,1.0
24025303603,24025,7228,3299,1.0
24025303605,24025,6121,2656,0.9634109464771696
24025303606,24025,3466,1621,0.9958467928011075
24025303700,24025,3896,1577,1.0
24025303801,24025,2889,1410,1.0
24025303802,24025,1860,926,1.0
24025303803,24025,5043,2235,1.0
24025303900,24025,2552,1086,1.0
24025304101,24025,5029,2068,1.0
24025304102,24025,3964,1680,0.9887184115523465
24025304201,24025,7432,3218,1.0
24025304202,24025,6029,2517,1.0
24025305100,24025,8067,3488,1.0
24025305200,24025,2776,1276,1.0
24025305300,24025,2067,982,1.0
24025306100,24025,4085,1733,1.0
24025306200,24025,2330,1058,0.9965659340659341
24025306300,24025,2966,1360,0.9892920880428316
24025306400,24025,7187,3220,0.9897933146210768
24025306500,24025,2919,1367,0.8222222222222222
24027601103,24027,5912,2871,0.9967940154955918
24027601104,24027,6910,3190,1.0
24027601105,24027,5391,3035,1.0
24027601107,24027,5265,2757,0.9743411927877947
24027601108,24027,3822,2199,0.9623008161678974
24027601203,24027,9247,5015,0.9548596112311015
24027601204,24027,7625,4340,0.9690492095301715
24027601205,24027,4823,2403,0.9814550641940085
24027601206,24027,4355,1996,0.9920833333333333
24027602100,24027,8764,3701,0.9954308093994778
24027602201,24027,3700,1812,0.9885386819484241
24027602202,24027,5812,2558,1.0
24027602302,24027,5881,3009,0.9869972785001512
24027602303,24027,4465,1847,0.994811320754717
24027602304,24027,4964,2132,0.9966442953020134
24027602305,24027,4329,1545,1.0
24027602306,24027,5741,3112,0.9959455545902114
24027602600,24027,7934,3661,0.9654535864978903
24027602700,24027,6020,2591,0.9973983739837399
24027602800,24027,6121,2639,1.0
24027602900,24027,4567,2104,0.992135761589404
24027603001,24027,6186,2426,1.0
24027603003,24027,4663,2011,0.9957155098543273
24027603004,24027,7681,3306,0.983177054605626
24027604001,24027,6584,2791,0.9975779594308205
24027604003,24027,4233,1925,1.0
24027604004,24027,4658,1966,0.9969242599000384
24027605103,24027,5613,2380,0.997692054071876
24027605104,24027,6001,2521,0.9976720984369803
24027605105,24027,7791,3800,1.0
24027605106,24027,4377,2010,1.0
24027605401,24027,5412,2847,1.0
24027605403,24027,4078,2142,0.9932938856015779
24027605404,24027,4525,2865,0.9903654485049834
24027605502,24027,4329,2208,1.0
24027605503,24027,5526,2422,0.9868421052631579
24027605504,24027,2661,1347,0.9937965260545906
24027605505,24027,6623,3092,0.9972625239529154
24027605601,24027,7785,3693,0.981826764219967
24027605602,24027,8329,3583,0.9854780153287616
24027606601,24027,3737,1472,0.9904912836767037
24027606603,24027,9024,4034,0.9878534448426921
24027606604,24027,4424,2061,1.0
24027606606,24027,5506,2810,0.9934191702432046
24027606607,24027,4313,2029,0.9882257409663012
24027606701,24027,2791,1124,0.9831994156318481
24027606704,24027,6836,2961,0.9964500273074822
24027606706,24027,4909,2455,0.9945375091041515
24027606708,24027,6480,3051,0.9719600222098834
